,last_week,last_year,year_2023,Budget(1)
Online Gross Revenue,46.6%,31.6%,15.8%,n/m
Returns,(35.7%),(3.0%),(51.0%),n/m
Return rate %,(56.4%),(26.8%),(57.7%),n/m
Online Net Revenue,55.1%,33.6%,23.0%,n/m
Retail Concept Store,44.5%,(18.6%),(10.9%),n/m
"Retail Pop-ups, Outlets",0.0%,0.0%,0.0%,n/m
Retail Net Revenue,44.5%,(18.6%),(10.9%),n/m
Wholesale Net Revenue,0.0%,(100.0%),0.0%,n/m
Total Net Revenue,54.4%,25.6%,20.0%,n/m
Returning Customers,59.3%,53.1%,31.0%,n/m
New Customers,37.2%,9.1%,(26.4%),n/m
Marketing Spend,0.0%,(100.0%),(100.0%),n/m
Online Cost of Sale (CoS),0.0%,(100.0%),(100.0%),n/m
