Market,32,33,34,35,36,37,38,39,8-week avg
United States,515,450,400,329,355,282,251,380,370
United Kingdom,205,165,149,175,135,143,142,192,163
Sweden,121,122,79,76,104,62,78,134,97
Germany,95,119,80,86,81,49,76,127,89
France,49,44,15,17,27,25,23,48,31
Canada,18,22,20,16,47,11,27,35,25
Netherlands,25,25,13,21,10,9,13,32,19
Australia,47,15,20,19,36,43,18,26,28
Austria,54,17,7,25,5,10,10,20,19
United Arab Emirates,16,34,12,17,9,11,18,15,17
Italy,13,31,8,16,15,10,11,14,15
Singapore,9,22,22,8,10,9,12,13,13
Switzerland,34,54,36,50,25,27,31,10,33
ROW,131,172,73,90,111,124,78,99,110
Total,1353,1294,941,957,983,824,799,1171,1040
