Year Type;Calendar Year;ISO Week;Market;Value
Current Year;2025;39;Australia;64
Current Year;2025;39;Netherlands;80
Current Year;2025;39;Canada;56
Current Year;2025;39;France;104
Current Year;2025;39;United States;732
Current Year;2025;39;Sweden;412
Current Year;2025;39;United Kingdom;544
Current Year;2025;39;Germany;288
Current Year;2025;38;United Kingdom;348
Current Year;2025;38;Sweden;260
Current Year;2025;38;Germany;172
Current Year;2025;38;France;60
Current Year;2025;38;Canada;52
Current Year;2025;38;Netherlands;40
Current Year;2025;38;Australia;36
Current Year;2025;38;United States;512
Current Year;2025;37;Australia;60
Current Year;2025;37;Netherlands;28
Current Year;2025;37;Canada;28
Current Year;2025;37;Germany;116
Current Year;2025;37;Sweden;256
Current Year;2025;37;United States;592
Current Year;2025;37;France;80
Current Year;2025;37;United Kingdom;384
Current Year;2025;36;Netherlands;40
Current Year;2025;36;United States;756
Current Year;2025;36;United Kingdom;420
Current Year;2025;36;Sweden;404
Current Year;2025;36;Germany;204
Current Year;2025;36;France;92
Current Year;2025;36;Canada;76
Current Year;2025;36;Australia;36
Current Year;2025;35;United Kingdom;468
Current Year;2025;35;United States;704
Current Year;2025;35;Australia;52
Current Year;2025;35;Netherlands;48
Current Year;2025;35;Germany;172
Current Year;2025;35;France;52
Current Year;2025;35;Canada;40
Current Year;2025;35;Sweden;288
Current Year;2025;34;Australia;40
Current Year;2025;34;Netherlands;44
Current Year;2025;34;Canada;36
Current Year;2025;34;Germany;180
Current Year;2025;34;Sweden;344
Current Year;2025;34;United Kingdom;360
Current Year;2025;34;United States;844
Current Year;2025;34;France;64
Current Year;2025;33;United Kingdom;512
Current Year;2025;33;Sweden;588
Current Year;2025;33;Germany;332
Current Year;2025;33;France;152
Current Year;2025;33;Canada;56
Current Year;2025;33;Netherlands;96
Current Year;2025;33;Australia;32
Current Year;2025;33;United States;1032
Current Year;2025;32;Australia;100
Current Year;2025;32;United Kingdom;488
Current Year;2025;32;Sweden;512
Current Year;2025;32;Germany;276
Current Year;2025;32;France;124
Current Year;2025;32;Canada;44
Current Year;2025;32;United States;1052
Current Year;2025;32;Netherlands;76
Last Year;2024;39;United States;676
Last Year;2024;32;Canada;40
Last Year;2024;36;France;60
Last Year;2024;36;Germany;176
Last Year;2024;36;Sweden;372
Last Year;2024;36;United Kingdom;336
Last Year;2024;36;United States;644
Last Year;2024;37;Australia;56
Last Year;2024;37;Netherlands;52
Last Year;2024;37;Canada;52
Last Year;2024;37;France;48
Last Year;2024;37;Germany;124
Last Year;2024;37;Sweden;384
Last Year;2024;37;United Kingdom;280
Last Year;2024;37;United States;640
Last Year;2024;36;Canada;24
Last Year;2024;38;Australia;60
Last Year;2024;38;Canada;28
Last Year;2024;38;France;44
Last Year;2024;38;Germany;128
Last Year;2024;38;Sweden;356
Last Year;2024;38;United Kingdom;264
Last Year;2024;38;United States;688
Last Year;2024;39;Australia;60
Last Year;2024;39;Netherlands;48
Last Year;2024;39;Canada;36
Last Year;2024;39;France;40
Last Year;2024;39;Germany;176
Last Year;2024;39;Sweden;388
Last Year;2024;39;United Kingdom;196
Last Year;2024;38;Netherlands;60
Last Year;2024;32;Netherlands;120
Last Year;2024;36;Netherlands;24
Last Year;2024;35;United States;756
Last Year;2024;32;France;144
Last Year;2024;32;Germany;340
Last Year;2024;32;Sweden;756
Last Year;2024;32;United Kingdom;376
Last Year;2024;32;United States;1064
Last Year;2024;33;Australia;68
Last Year;2024;33;Netherlands;124
Last Year;2024;33;Canada;44
Last Year;2024;33;France;120
Last Year;2024;33;Germany;320
Last Year;2024;33;Sweden;544
Last Year;2024;33;United Kingdom;388
Last Year;2024;33;United States;992
Last Year;2024;36;Australia;56
Last Year;2024;34;Australia;64
Last Year;2024;34;Canada;56
Last Year;2024;34;France;72
Last Year;2024;34;Germany;232
Last Year;2024;34;Sweden;488
Last Year;2024;34;United Kingdom;408
Last Year;2024;34;United States;884
Last Year;2024;35;Australia;104
Last Year;2024;35;Netherlands;56
Last Year;2024;35;Canada;60
Last Year;2024;35;France;100
Last Year;2024;35;Germany;164
Last Year;2024;35;Sweden;1209
Last Year;2024;35;United Kingdom;316
Last Year;2024;34;Netherlands;80
Last Year;2024;32;Australia;84
